rank,hkm_id,formula_id,length,formula,atom_ids,features,source_pattern_ids,train_dedup_support0_excluding_sources,train_dedup_support1_excluding_sources,train_dedup_precision0_excluding_sources,train_dedup_precision1_excluding_sources,train_dedup_recall0_excluding_sources,train_dedup_recall1_excluding_sources,train_precision0_recall0_mean,test_support0,test_support1,test_precision0,test_precision1,test_recall0,test_recall1
1,len3__admissions__albumin__ecog__combo2545__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_18892"", ""atom_62210""]","[""admissions"", ""albumin"", ""ecog""]","[""pattern_5"", ""pattern_4110"", ""pattern_14104""]",321,22,0.9358600583090378,0.0641399416909621,0.3715277777777778,0.006060606060606061,0.6536939180434078,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
2,len3__admissions__albumin__creatinine__combo2527__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_18892"", ""atom_168647""]","[""admissions"", ""albumin"", ""creatinine""]","[""pattern_5"", ""pattern_4110"", ""pattern_40773""]",323,23,0.9335260115606936,0.06647398843930635,0.3738425925925926,0.006336088154269973,0.6536843020766431,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
3,len3__admissions__neutrophils__plt__combo1980__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_106138"", ""atom_100716""]","[""admissions"", ""neutrophils"", ""plt""]","[""pattern_5"", ""pattern_24730"", ""pattern_23399""]",323,23,0.9335260115606936,0.06647398843930635,0.3738425925925926,0.006336088154269973,0.6536843020766431,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
4,len3__admissions__neutrophils__plt__combo2520__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_118280"", ""atom_100716""]","[""admissions"", ""neutrophils"", ""plt""]","[""pattern_5"", ""pattern_27842"", ""pattern_23399""]",323,23,0.9335260115606936,0.06647398843930635,0.3738425925925926,0.006336088154269973,0.6536843020766431,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
5,len3__admissions__neutrophils__plt__combo2525__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_118280"", ""atom_153897""]","[""admissions"", ""neutrophils"", ""plt""]","[""pattern_5"", ""pattern_27842"", ""pattern_36960""]",323,23,0.9335260115606936,0.06647398843930635,0.3738425925925926,0.006336088154269973,0.6536843020766431,64,5,0.927536231884058,0.07246376811594203,0.32,0.005405405405405406
6,len3__admissions__albumin__ecog__combo1975__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_123108"", ""atom_62210""]","[""admissions"", ""albumin"", ""ecog""]","[""pattern_5"", ""pattern_29068"", ""pattern_14104""]",320,22,0.935672514619883,0.06432748538011696,0.37037037037037035,0.006060606060606061,0.6530214424951266,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
7,len3__admissions__albumin__plt__combo1950__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_123108"", ""atom_100716""]","[""admissions"", ""albumin"", ""plt""]","[""pattern_5"", ""pattern_29068"", ""pattern_23399""]",322,23,0.9333333333333333,0.06666666666666667,0.3726851851851852,0.006336088154269973,0.6530092592592592,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
8,len3__admissions__albumin__creatinine__combo1957__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_123108"", ""atom_168647""]","[""admissions"", ""albumin"", ""creatinine""]","[""pattern_5"", ""pattern_29068"", ""pattern_40773""]",322,23,0.9333333333333333,0.06666666666666667,0.3726851851851852,0.006336088154269973,0.6530092592592592,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
9,len3__admissions__albumin__creatinine__combo1897__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_112885"", ""atom_168647""]","[""admissions"", ""albumin"", ""creatinine""]","[""pattern_5"", ""pattern_26428"", ""pattern_40773""]",323,24,0.930835734870317,0.069164265129683,0.3738425925925926,0.006611570247933884,0.6523391637314548,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
10,len3__admissions__neutrophils__plt__combo1830__tmpl8,len3_0009,3,((x1 OR x2) AND NOT x3),"[""atom_32"", ""atom_101976"", ""atom_100716""]","[""admissions"", ""neutrophils"", ""plt""]","[""pattern_5"", ""pattern_23723"", ""pattern_23399""]",323,24,0.930835734870317,0.069164265129683,0.3738425925925926,0.006611570247933884,0.6523391637314548,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
