rank,hkm_id,formula_id,length,formula,atom_ids,features,source_pattern_ids,train_dedup_support0_excluding_sources,train_dedup_support1_excluding_sources,train_dedup_precision0_excluding_sources,train_dedup_precision1_excluding_sources,train_dedup_recall0_excluding_sources,train_dedup_recall1_excluding_sources,train_precision0_recall0_mean,test_support0,test_support1,test_precision0,test_precision1,test_recall0,test_recall1
3498,len4__admissions__albumin__ast__neutrophils__combo59454__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_123622"", ""atom_107494"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_29199"", ""pattern_25081"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,7,0.9041095890410958,0.0958904109589041,0.33,0.0075675675675675675
3499,len4__admissions__albumin__ast__neutrophils__combo59514__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_123622"", ""atom_144870"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_29199"", ""pattern_34661"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,7,0.9041095890410958,0.0958904109589041,0.33,0.0075675675675675675
3500,len4__admissions__albumin__ast__neutrophils__combo59604__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_123622"", ""atom_169643"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_29199"", ""pattern_41019"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,6,0.9166666666666666,0.08333333333333333,0.33,0.006486486486486486
3501,len4__admissions__albumin__ast__neutrophils__combo59844__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_123622"", ""atom_231205"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_29199"", ""pattern_57400"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,6,0.9166666666666666,0.08333333333333333,0.33,0.006486486486486486
3502,len4__admissions__albumin__ast__neutrophils__combo68634__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_151746"", ""atom_179566"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_36400"", ""pattern_43619"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
3503,len4__admissions__albumin__ast__neutrophils__combo69294__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_151746"", ""atom_95606"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_36400"", ""pattern_22158"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3504,len4__admissions__albumin__ast__neutrophils__combo70404__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_164092"", ""atom_169643"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_39607"", ""pattern_41019"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3505,len4__admissions__albumin__ast__neutrophils__combo70434__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_164092"", ""atom_179566"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_39607"", ""pattern_43619"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3506,len4__admissions__albumin__ast__neutrophils__combo74934__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_186259"", ""atom_179566"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_45365"", ""pattern_43619"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,6,0.9166666666666666,0.08333333333333333,0.33,0.006486486486486486
3507,len4__admissions__albumin__ast__neutrophils__combo75354__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_186259"", ""atom_37220"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_45365"", ""pattern_8243"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,6,0.9166666666666666,0.08333333333333333,0.33,0.006486486486486486
