length,logic_name,logic_title,split,threshold,min_matches,top_k_used,predicted0_on_label0,predicted0_on_label1,precision0,recall0,precision1,recall1,f1_0,f1_1,macro_f1
2,precision0,precision0,test,0.3,3,10,66,4,0.9428571428571428,0.33,0.8729857819905213,0.9956756756756757,0.48888888888888893,0.9303030303030304,0.7095959595959597
3,precision0,precision0,test,0.3,3,10,66,4,0.9428571428571428,0.33,0.8729857819905213,0.9956756756756757,0.48888888888888893,0.9303030303030304,0.7095959595959597
4,precision0_plus_recall0,precision0_recall0_mean,test,0.7,7,10,66,4,0.9428571428571428,0.33,0.8729857819905213,0.9956756756756757,0.48888888888888893,0.9303030303030304,0.7095959595959597
